"MAIN STORE LINK","DESIGNER NAME","CATEGORY","WEBSITE","INSTAGRAM URL","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11","IMAGE 12","IMAGE 13","IMAGE 14"
"https://www.perniaspopupshop.com/designers/debashri-samanta","Debashri Samanta",,"https://www.facebook.com/labeldebashrisamanta/",,"https://img.perniaspopupshop.com/catalog/product/d/e/debsc160916015-b_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/e/debsc160916014-b_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/e/debsc160916007-b_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/e/debsc160916022-b_2.jpg?impolicy=listingimagedesktop",,,,,,,,,,
"https://www.perniaspopupshop.com/designers/door-of-maai","DOOR OF MAAI",,,,"https://img.perniaspopupshop.com/catalog/product/d/r/DRMI102010_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/r/DRMI102009_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/r/DRMI102008_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/r/DRMI102005_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/r/DRMI102002_1.jpg?impolicy=listingimagedesktop",,,,,,,,,
"https://www.perniaspopupshop.com/designers/dhwaja","Dhwaja","Women","https://www.dhwaja.in/","https://www.instagram.com/dhwajacouture/","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062310_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062311_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062312_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062318_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062317_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062316_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062308_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/h/DHWC062301_1.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/digna","Digna",,,,,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/diai-designs","Diai Designs","Women","https://diaidesigns.com/","https://www.facebook.com/diaidesigns/","https://img.perniaspopupshop.com/catalog/product/d/i/DIAI061917_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAI061916_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAI061915_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAI061912_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAI061910_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAI061907_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/diyarajvvir-men","DiyaRajvvir Men","Men","https://diyarajvvir.in/","https://www.instagram.com/diyarajvvir/","https://img.perniaspopupshop.com/catalog/product/d/v/DVVCM092349_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVVCM092340_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVVCM092345_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVVCM092344_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVVCM092339_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVVCM092341_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/diane-singh","Diane Singh","Women","https://dianesingh.com/","https://www.instagram.com/dianesinghjewellery/",,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/devanshi-didwania","Devanshi Didwania","Men",,,"https://img.perniaspopupshop.com/catalog/product/d/d/DDAC091904_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/d/DDAC091905_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/d/DDAC091903_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/d/DDAC091902_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/d/DDAC081904_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/d/DDAC081909_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/doodlage-men","Doodlage Men","Men","https://doodlage.in/","https://www.instagram.com/doodlageofficial/?hl=en","https://img.perniaspopupshop.com/catalog/product/c/u/custom_resized_4c4c2090-ffad-4e7d-87ab-e4fe3a0cb680.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/l/DLMC092211_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/l/DLMC092210_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/l/DLMC092212_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/l/DLMC092213_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/l/DLMC092204_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/dvaa","DVAA","Women","https://www.dvaaclothing.com/","https://www.instagram.com/dvaa_talesuntold/","https://img.perniaspopupshop.com/catalog/product/d/v/DVAC022048_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVAC022041_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVAC022040_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/v/DVAC022038_1.jpg?impolicy=listingimagedesktop",,,,,,,,,,
"https://www.perniaspopupshop.com/designers/divya-anand","Divya Anand","Women",,,"https://img.perniaspopupshop.com/catalog/product/d/i/DIAC032024_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAC032023_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAC032021_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAC032019_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/DIAC032010_1.jpg?impolicy=listingimagedesktop",,,,,,,,,
"https://www.perniaspopupshop.com/designers/deepa-by-deepa-gurnani-x-confluence","Deepa by Deepa Gurnani X Confluence","Women","https://www.deepagurnani.com/","https://www.instagram.com/deepagurnani/",,,,,,,,,,,,,,
