"Link","Partner Name","Products","Supported Languages","Countries","Specialization","Address","Phone Number","Email","Website"
"https://cloud.google.com/find-a-partner/partner/capsule8-inc","Capsule8, Inc.","Google Cloud Platform","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/snapplify","Snapplify","Google Workspace","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/omniquo","Omniquo","Google Cloud Platform and Google Workspace","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/techdata","Techdata","Google Workspace","English and Spanish","Spain","NA","https://maps.google.com/?q=Calle%20embajadores%20135%206b%20INT%20Madrid%2028045%20ES","tel:0034606043860","mailto:techsidesolutions@techsidesolutions.com","https://techsidesolutions.com/"
"https://cloud.google.com/find-a-partner/partner/silverlining-cloud-gmbh","SilverLining.Cloud GmbH","Google Cloud Platform","English and German","world","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/smyte-inc","Smyte Inc.","Google Cloud Platform","NA","NA","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/claritype","Claritype","Google Cloud Platform","English","United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/softdev-international","SoftDev International","Google Workspace","English and French","Angola, Burkina Faso, Burundi, Benin, Botswana, Cape Verde, Congo - Kinshasa, Central African Republic, Congo - Brazzaville, Côte d’Ivoire, Cameroon, Djibouti, Algeria, Egypt, Western Sahara, Eritrea, Eswatini, Ethiopia, Gabon, Ghana, Gambia, Guinea, Guinea-Bissau, Liberia, Lesotho, Libya, Morocco, Madagascar, Mali, Mauritania, Malawi, Mozambique, Namibia, Rwanda, Sierra Leone, Senegal, Somalia, SS, São Tomé & Príncipe, Chad, Togo, Tunisia, Uganda, South Africa, Zambia, and Zimbabwe","NA","https://maps.google.com/?q=Agoe%20Cacaveli%20Non%20Loin%20De%20L%E2%80%99Institut%20IPNET%20Lome%20BP%2020014%20TG","tel:+228 91 28 69 68","mailto:infos@softdevlogiciels.com","https://softdevlogiciels.com/"
"https://cloud.google.com/find-a-partner/partner/bluebeak","BLUEBEAK","Google Cloud Platform","English","Australia","NA","https://maps.google.com/?q=Kitava%20St%20Fig%20Tree%20Pocket%20Queensland%204069%20AU","tel:+61 433918246","mailto:rimon@bluebeak.ai","http://bluebeak.ai/"
"https://cloud.google.com/find-a-partner/partner/dei-institute-online-university-diou","Dei Institute - Online University (DIOU)","Google Workspace","English","Tanzania","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/gositus","Gositus","Google Workspace","English and Indonesian","Indonesia","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/netguardians","NetGuardians","Google Cloud Platform","English, French, and German","NA","NA","https://maps.google.com/?q=Y-Parc,%20Avenue%20des%20Sciences%2013%20Yverdon-les-Bains%201400%20CH","tel:+41 24 425 97 60","mailto:info@netguardians.ch","https://www.netguardians.ai/"
"https://cloud.google.com/find-a-partner/partner/somerford-associates-limited","Somerford Associates Limited","Google Cloud Platform","English","United Kingdom and Ireland","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/transdigitl","TRANSDIGITL","Google Workspace","English and Portuguese","Angola, Cape Verde, and Mozambique","NA","https://maps.google.com/?q=Av.%20Emilia%20Da%C3%BAsse%202221%20Maputo%201114%20MZ","tel:+258 21 087927","mailto:geral@transdigital-mz.com","NA"
"https://cloud.google.com/find-a-partner/partner/dashlytix","dashlytix","Google Cloud Platform","English","Australia","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/altitude-integrations","Altitude Integrations","NA","English","United States","NA","https://maps.google.com/?q=3055%2047th%20Street%20Boulder%20Colorado%2080301%20US","tel:+1 3033511787","mailto:sales@isupportu.biz","https://www.isupportu.biz/"
"https://cloud.google.com/find-a-partner/partner/z-data-inc","Z Data Inc","Google Cloud Platform","English","United States","NA","https://maps.google.com/?q=408%20W%20Idaho%20St%20Boise%20Idaho%2083702%20US","tel:+1 4158905746","mailto:sales@zdatainc.com","https://zdatainc.com/"
"https://cloud.google.com/find-a-partner/partner/acceleration","Acceleration","Google Cloud Platform, Chrome, and Google Workspace","English","United Arab Emirates, United Kingdom, United States, and South Africa","NA","https://maps.google.com/?q=3rd%20Floor,%20Greater%20London%20House,%20Hampstead%20Road,%20London%20NW1%207QP%20GB","tel:+44 2073213600","mailto:sales@acceleration.biz","https://www.acceleration.biz/"
"https://cloud.google.com/find-a-partner/partner/threatwarrior","ThreatWarrior","Google Cloud Platform","English","United States","NA","NA","NA","NA","NA"
"https://cloud.google.com/find-a-partner/partner/astek-polska","ASTEK Polska","Google Cloud Platform","English and Polish","Poland","NA","https://maps.google.com/?q=ul.%20Mokotowska%201%2000-640%20Warszawa%20Warszawa%20Mazowieckie%2000-640%20PL","tel:+48 22 290 57 85","mailto:biuro@astek.pl","https://astek.pl/"
