"MAIN STORE LINK","DESIGNER NAME","PRICE RANGE","CATEGORY","WEBSITE","INSTAGRAM URL","STORE 1","STORE 2 ","STORE 3 ","STORE 4 ","STORE 5 ","STORE 6","STORE 7","STORE 8","STORE 9","STORE 10","STORE 11","STORE 12","STORE 13","STORE 14","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","categories"
"https://aashniandco.com/designers/5-elements-by-radhika-gupta.html","5 Elements by Radhika Gupta","1900-8200","Women","https://5-elements.co.in/","https://www.instagram.com/5_elementsbyradhikagupta/?hl=en","B 44, Sector 60, Noida U.P India, Zip Code - 201301","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_rose_gold_thread_embroidered_juttis_by_5_elements_by_radhika_gupta-elejun23kd10__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_beige_thread_embroidered_juttis_by_5_elements_by_radhika_gupta-elejun23kd12__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_yellow_thread_embroidered_juttis_by_5_elements_by_radhika_gupta-elejun23kd13__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_pink_thread_embroidered_juttis_by_5_elements_by_radhika_gupta-elejun23kd11__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/p/i/pink_ghungroo_embellished_juttis_1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_red_ghungroo_embellished_juttis_by_5_elements_by_radhika_gupta-elejun2305_1_.jpg","Bags, Shoes"
"https://aashniandco.com/designers/7th-avenue-jewellery.html","7th Avenue Jewellery","4599-32836","Women","https://7thavenuejewellery.com/","https://www.instagram.com/7thavenuejewellery/","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_emerald_swarovski_embellished_necklace_set_by_7th_avenue_jewellery__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_emerald_embellished_choker_set_by_7th_avenue_jewellery__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_turquoise_embellished_bracelet_by_7th_avenue_jewellery__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_maroon_pearl_embellished_bracelet_by_7th_avenue_jewellery__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_pearl_embellished_bracelet_by_7th_avenue_jewellery__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_emerald_embellished_bracelet_by_7th_avenue_jewellery__1_.jpg","Bangles & Bracelets, Earrings, Necklaces"
"https://aashniandco.com/designers/adorn-by-nikita.html","Adorn by Nikita","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://aashniandco.com/designers/amalfiee.html","Amalfiee","2700-91947","Women","https://www.amalfieeceramics.com/","https://www.facebook.com/Amalfieeceramics/","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/m/amesep2212__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/m/amesep2211__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/m/amesep2210__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/m/amesep2209__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/m/amesep2208__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/m/amesep2207__1_.jpg","Bowls, Cups & Mugs, Dinnerware"
"https://aashniandco.com/designers/amaris-by-prerna-rajpal.html","Amaris by Prerna Rajpal","165000-1055000","Women","https://www.amarisjewels.com/","https://www.instagram.com/amarisbyprernarajpal/?img_index=1","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apramr077e_a_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apramr079e_a_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apramr061e_a_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apramr044e_a_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apramr113e_a_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apramr112e_a_.jpg","Bangles & Bracelets, Earrings, Hair Accessories, Necklaces, Rings"
"https://aashniandco.com/designers/annu-s-creation.html","Annu's Creation","100300-767000","Women","https://www.annuscreation.in/","https://www.instagram.com/annus_creation/?hl=en","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_hot_pink_zardozi_embroidered_lehenga_set_by_annu_s_creation-annjun2313__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_dark_maroon_zardozi_and_resham_embroidered_lehenga_set_by_annu_s_creation-annjun2314__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_ivory_and_red_zardozi_embroidered_lehenga_set_by_annu_s_creation-annjun2316__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_red_zardozi_embroidered_lehenga_set_by_annu_s_creation-annjun2312__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_ivory_zardozi_and_resham_embroidered_lehenga_set_by_annu_s_creation-annjun2315__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_wine_sequin_and_pearl_embroidered_lehenga_set_by_annu_s_creation-annjun2308__1_.jpg","Lehengas"
"https://aashniandco.com/designers/apala-by-sumit.html","Apala by Sumit","13287-45526","Women","https://www.facebook.com/apalajewelry/","https://www.instagram.com/apalabysumitofficial/?hl=en","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apaju19005_a.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apaju19010_a.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apaju19011_a.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apaju19007_a.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apaju19013_a.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/a/p/apajul04_a_.jpg","Earrings"
"https://aashniandco.com/designers/artsie-ville.html","Artsie Ville","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://aashniandco.com/designers/atelier-mon.html","Atelier Mon","1650-4150","Women","https://www.ateliermon.com/","https://www.instagram.com/ateliermon/?hl=en","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_aqua_chalcedony_crystal_cluster_necklace_by_atelier_mon-atmjun2315__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_aqua_pearl_and_chalcedony_crystal_ring_by_atelier_mon-atmjun2318__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_turquoise_chalcedony_crystal_drop_earrings_by_atelier_mon-atmjun2304__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_multicolour_natural_crystal_drop_earrings_by_atelier_mon-atmjun2302__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_aqua_turquoise_cz_tassel_earrings_by_atelier_mon-atmjun2303__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_aqua_chalcedony_crystal_layered_necklace_by_atelier_mon-atmjun2314__1_.jpg","Bangles & Bracelets, Earrings, Necklaces, Rings"
"https://aashniandco.com/designers/bblingg-by-meghana.html","Bblingg by Meghana","2000-12200","Women","","","","","","","","","","","","","","","","","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_emerald_swarovski_pearl_and_crystal_embellished_choker_by_bblingg_by_meghana-bblmay2311__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_white_swarovski_pearl_and_crystal_embellished_choker_by_bblingg_by_meghana-bblmay2310__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_white_swarovski_crystal_embellished_danglers_by_bblingg_by_meghana-bblmay2304__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_emerald_swarovski_crystal_embellished_danglers_by_bblingg_by_meghana-bblmay2302__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_multicolour_swarovski_embellished_danglers_by_bblingg_by_meghana-bblmay2303__1_.jpg","https://static.aashniandco.com/pub/media/catalog/product/cache/6d9df047c2ec4b20303e23a40cded5ce/b/u/buy_multicolour_swarovski_crystal_studded_large_half_hoops_by_bblingg_by_meghana-bblmay2330__1_.jpg","Bangles & Bracelets, Earrings, Hair Accessories, Necklaces, Rings"
