"MAIN STORE LINK","DESIGNER NAME","PRICE RANGE","CATEGORY","WEBSITE","INSTAGRAM URL","STORE 1","STORE 2 ","STORE 3 ","STORE 4 ","STORE 5 ","STORE 6","STORE 7","STORE 8","STORE 9","STORE 10","STORE 11","STORE 12","STORE 13","STORE 14","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","categories"
"https://www.ogaan.com/designers/11-11-eleven-eleven","11.11 ELEVEN ELEVEN","4200-54500","Women","https://11-11.in/","https://www.instagram.com/1111clothing/","B 305, L.G.F, Okhla Industrial Area, Phase I, New Delhi IN - 110020","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/b/e/berryhs6sas71.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/s/t/stringp4k100sas711.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/s/q/sqsmallhs6sas71.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/b/e/berryhs6sbs271.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/b/e/berryhs6bod231.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/l/v/lvmarihs6sas71.jpg","Cape, Dresses, Kurtas, Pants, Scarf-stole, Shirts"
"https://www.ogaan.com/designers/431-88-by-shweta-kapur","431-88 BY SHWETA KAPUR","0-211250","Women","https://www.431-88.com/","https://www.instagram.com/431_88/","Shwetambara Enterprises, No. 38, 1st Floor, Sector 27/A, Faridabad, Haryana 121003","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/2/1/2191603purple1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/3/1/3170216purple1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/2/2/2221605ombrestone1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/2/2/2220209silver1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/1/1181601grey1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/2/2/2220213grey1.jpg","Belt, Blazer, Blouses, Bustier, Cape, Co-ords, Dresses, Jackets, Jumpsuit, Kaftan, Kurtas, Pants, Plazzo, Saree, Shararas, Shirts, Skirts, Tops, Trouser"
"https://www.ogaan.com/designers/abhinav-mishra","ABHINAV MISHRA","120000-500000","Women","https://abhinavmishraofficial.com/","https://www.instagram.com/abhinavmishra_/?hl=en","Regency One D 59 Chattarpur Enclave S N N Marg New Delhi 110074","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amss23le6111.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amss23le6171.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amss23le6231.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amss23le6181.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amss23le6151.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amss23le6161.jpg","Anarkali, Lehengas, Shararas, Skirts"
"https://www.ogaan.com/designers/abraham-thakore","ABRAHAM & THAKORE","2900-88000","Women","https://abrahamandthakore.com/","https://www.instagram.com/accounts/login/?next=/abrahamandthakore/","1st Floor, D-25, Block D,Defence Colony, New Delhi, Delhi 110024, Delhi - 110024","A and T, F-27, Phoenix Palladium, Phoenix Mills Compound, 1st Floor, 462, Senapati Bapat Marg, Lower Parel, Mumbai, Mumbai, Maharashtra, 400013, Mumbai - 400013","","The Dhan Mill, Shed No. 52, Khasra No 287, 288/1 & 288/2, 100 Ft Road, Chattarpur, New Delhi 110074, New Delhi - 110074","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/0/109f151.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/0/109cf15a1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/0/109cf15b1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/0/109f191.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/0/109f201.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/1/0/109cf21a1.jpg","Blazer, Blouses, Cape, Co-ords, Dresses, Jackets, Kaftan, Kurtas, Overlay, Pants, Saree, Shirts, Skirts, Tops, Tunics"
"https://www.ogaan.com/designers/aekatri","AEKATRI","11200-15120","Women","https://aekatri.com/","https://www.instagram.com/aekatri/?hl=en","434 Patparganj Industrial Industrial Area, 110092 Delhi, India","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/n/a/nadirast1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/u/gulbagh1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/m/amrit1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/n/anisest1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/j/a/jasminest1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/u/gulerblue1.jpg","Dresses, Kurtas, Tunics"
"https://www.ogaan.com/designers/aida-a-by-priyanka-jain","AIDA BY PRIYANKA JAIN","14000-17500","Women","https://priyankajainofficial.com/","https://www.instagram.com/priyankajain.official/","118, Shahpur Jat, Siri Fort, New Delhi, Delhi 110049","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/i/aid1001.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/i/aid1011.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/i/aid1021.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/i/aid1031.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/i/aid1041.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/i/aid1051.jpg","Dresses"
"https://www.ogaan.com/designers/airavata","AIRAVATA","200-24700","Women","https://airavatatextiles.com/","https://www.instagram.com/airavata.life/","","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/w/gwo23041_1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/w/gwo23061_1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/w/gwo23091_1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/w/gwo23101_1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/w/gwo23111_1.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/g/w/gwo23051_1.jpg","Dhoti-set, Face-mask, Jackets, Kurtas, Pants, Shararas, Skirts, Tops"
"https://www.ogaan.com/designers/aisha-rao","AISHA RAO","66600-540000","Women","https://aisharao.com/","https://www.instagram.com/aisharaoofficial/","H No.8-2-608/M/1, Road No.10, Banjara Hills, Hyderabad-500034","06 , 14/18 , Yashwant Chambers, Kalaghoda Fort , Mumbai - 400023","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/r/arttoggels1.jpg?v=1.3","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/r/artklgoels01.jpg?v=1.3","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/r/artnihkbbls1.jpg?v=1.3","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/r/artyhkbbls011.jpg?v=1.3","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/r/arttghkbbls011.jpg?v=1.3","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/r/arttcge2ls011.jpg?v=1.3","Co-ords, Dresses, Gown, Kurtas, Lehengas, Saree, Sharara-sets, Shararas, Skirts"
"https://www.ogaan.com/designers/ak-ok","AK-OK","10000-150000","Women","https://akok.in/","https://www.instagram.com/akok.in/","2/1 Outram Street Kolkata - 700017, Kolkata, India","One Forbes Wing A, No.1 Dr V.B. Gandhi Marg, Ground Floor, Mumbai - 400001, Mumbai, India","The Kila, Seven Style Mile, Seth Sarai, Mehrauli, Delhi - 110030","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akok2621.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akok2631.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akok2641.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akok2651.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akok2661.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akok2681.jpg","Blazer, Cape, Co-ords, Dresses, Jackets, Kaftan, Kurtas, Pants, Shirts, Skirts, Tops, Tunics"
"https://www.ogaan.com/designers/akhl","AKHL","8736-199995","Women","https://akhlstudio.com/","https://www.instagram.com/akhlstudio/?hl=en","3rd Floor Backside, F 213 A (Wishbox Building), Old MB Road, Lado Sarai, New Delhi - 110030","","","","","","","","","","","","","","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akss24kf11.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akss24kf21.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akss24kf31.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akss24kf41.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akss24kf51.jpg","https://img2.ogaanindia.com/pub/media/catalog/product/cache/61394fed4cca708a807c58fe70eac75d/a/k/akss24kf61.jpg","Blazer, Cape, Dresses, Gown, Jackets, Kaftan, Pants, Shirts, Skirts, Tops, Trouser"
