MAIN STORE LINK,DESIGNER NAME,PRICE RANGE,CATEGORY,WEBSITE,INSTAGRAM URL,STORE 1,STORE 2 ,STORE 3 ,STORE 4 ,STORE 5 ,STORE 6,STORE 7,STORE 8,STORE 9,STORE 10,STORE 11,STORE 12,STORE 13,STORE 14,IMAGE 1,IMAGE 2,IMAGE 3,IMAGE 4,IMAGE 5,IMAGE 6
https://www.perniaspopupshop.com/designers/atsu,Atsu,,,,,,,,,,,,,,,,,,,,,,,,
https://www.perniaspopupshop.com/designers/ayesha-khurram,Ayesha Khurram,"3950-21000
",Women,https://ayeshakhurram.com/,https://www.instagram.com/ayeshakhurram_official/?hl=en,"4 - Z, Defense Housing Authority, Lahore, Punjab, 54000, Pakistan",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/s/s/SSPQ1120194_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/s/s/sspq04ak_b__19_1_1.jpg?impolicy=listingimagedesktop,,,,
https://www.perniaspopupshop.com/designers/alpana-neeraj,Alpana & Neeraj,,,,,,,,,,,,,,,,,,,,,,,,
https://www.perniaspopupshop.com/designers/amit-aggarwal,Amit Aggarwal,11500-525000,Women,https://amitaggarwal.com/,https://www.instagram.com/amitaggarwalofficial/?hl=en,"THE KILA SEVEN STYLE MILE, 4A, Kalka Das Marg Mehrauli, New Delhi, Delhi 110030","7, BEST Marg, Apollo Bandar Colaba, Mumbai, Maharashtra 400005","elahe 476 Milestone, Road No.10 Banjarahills, Hyderabad 500034","Collage Shop India 21/1, wood street, Ashoknagar Bangalore - 6560025","Collage Angson Centre, 153, Greams Road, Chennai - 600006","S-23, Utkarsha Nariman Sardar, Nagpur 400001","AURA 12 College Road, Choubay Colony, Raipur - 492001",,,,,,,,https://img.perniaspopupshop.com/catalog/product/w/r/wraa112301_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/w/r/wraa112302_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/w/r/wraa112303_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/w/r/wraa112304_1_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/w/r/wraa112305_2.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/w/r/wraa112306_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/anand-kabra,Anand Kabra,28500-348000,Women,http://www.anandkabra.com/,https://www.instagram.com/anand.kabra/,OGAAN DELHIH2 Houz Khas Village Delhi 110016,"Shop No.433/437, III Floor Emporio Mall Road #4, Vasant Kunj Phase-II",D-268 Defence Colony New Delhi - 110024,"Aza Fashions Pvt. Ltd. 21, Almount Road, Mumbai - 400026",,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/n/ANKB012201_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANKB042204_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANKB032222_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANKB082206_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANKB082221_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANKB082220_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/arpita-mehta,Arpita Mehta,35000-500000,Women,https://arpitamehtaofficial.com/,https://www.instagram.com/arpitamehtaofficial/,"Rajgir Apartment, Khar West, Road no 8. Mumbai 400052",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/d/i/disha_patni_in_arpita_mehta_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/d/i/disha_patni_in_arpita_mehta.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/m/a/madhuri_dixit_in_arpita_mehta.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/s/h/shilpa_shetty_in_arpita_mehta.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/p/o/pooja_hegde_in_arpita_mehta.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/k/i/kiara_advani_in_arpita_mehta.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/anupamaa-dayal,Anupamaa Dayal,,Women,https://anupamaa.com/,https://www.instagram.com/anupamaadayal/?hl=en,"64A, Middle Lane, Ground Floor, Khan Market, New Delhi - 110003.",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/d/ADAC121902_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/d/ADAC121901_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052067-001_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052074-001_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/d/ADAC0520111-001_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052081-001_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/amrita-thakur,Amrita Thakur,6907-122100,Women,https://amritathakur.in/,https://www.instagram.com/amrita_thakur/?hl=en,"F-564/A, 1st Floor, Lado Sarai, Sri Aurobindo Marg, Mehrauli, Delhi - 110030",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/k/r/kriti_kharbanda_in_amrita_thakur.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMTH092220_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/k/i/kiara_advani_in_amrita_thakur.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMTH092225_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMTH112220_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMTH112216_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/amrapali,Amrapali,,,,,,,,,,,,,,,,,,,,,,,,
https://www.perniaspopupshop.com/designers/ayinat-by-taniya-o-connor,Ayinat By Taniya O'Connor,,Women,https://www.ayinat.com/,https://www.instagram.com/ayinatofficial/,"Ayinat Shop Number 37 Left Wing , Santushti Shopping Complex, Chanakya Puri New Delhi 110021",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616005-b.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616004-b.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616009-b.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616008-b.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022015-001_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022014-001_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/aharin-india,Aharin India,8500-254000,Women,https://www.facebook.com/aharinindia/,https://www.instagram.com/aharinindia/,,,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022316_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022315_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022310_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022313_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022362_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022359_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/aamaya-by-priyanka,Aamaya by Priyanka,,,,,,,,,,,,,,,,,,,,,,,,
https://www.perniaspopupshop.com/designers/am-pm,AMPM,7950-84950,Women,https://ampm.in/,https://www.instagram.com/ampmfashions/,"AMPM, 3rd Floor, DLF Emporio Mall, Nelson Mandela Marg, Vasant Kunj, New Delhi - 110070",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/m/AMPM0522154_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082230_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082231_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082229_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082218_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082244_1.jpg?impolicy=listingimagedesktop
https://www.perniaspopupshop.com/designers/ashish-soni,Ashish Soni,6500-6500,Women,,https://www.instagram.com/ashishnsoniofficial/,,,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/s/ashc4t12141a_b_.jpg?impolicy=listingimagedesktop,,,,,
https://www.perniaspopupshop.com/designers/anju-modi,Anju Modi,13400-36400,Women,https://anjumodi.com/,https://www.instagram.com/anjumodi/,"145, Mehrauli-Gurgaon Rd, Sultanpur,New Delhi 11003",,,,,,,,,,,,,,https://img.perniaspopupshop.com/catalog/product/a/n/ANJC072203_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANJC072202_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANJC072201_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANJC062205_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANJC062204_1.jpg?impolicy=listingimagedesktop,https://img.perniaspopupshop.com/catalog/product/a/n/ANJC062203_1.jpg?impolicy=listingimagedesktop
