"MAIN STORE LINK","DESIGNER NAME","CATEGORY","WEBSITE","INSTAGRAM URL","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11","IMAGE 12","IMAGE 13","IMAGE 14"
"https://www.perniaspopupshop.com/designers/renasci-by-ritika-arya-jain","RENASCI BY RITIKA ARYA JAIN","Women","https://renasci.in/","https://www.instagram.com/renasci.in/?hl=en","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ052345_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ052343_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ052341_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ052340_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ052337_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ052336_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/r/RRAJ012325_1.jpg?impolicy=listingimagedesktop",,,,,,,
"https://www.perniaspopupshop.com/designers/re-o-sa","RE:O:SA","Men","https://www.reosa.co.in/","https://www.instagram.com/re_o_sa/?hl=en","https://img.perniaspopupshop.com/catalog/product/r/e/REOS102312_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REOS102305_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REOS102310_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REOS102309_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REOS102308_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REOS102307_1.JPG?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/reema-mehta","Reema Mehta","Women","https://www.reemamehta.in/","https://www.instagram.com/reemamehtaofficial/?hl=en","https://img.perniaspopupshop.com/catalog/product/r/e/REEM082208_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REEM082206_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REEM082205_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REEM082204_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REEM082203_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/e/REEM082202_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/ritu-pande","Ritu Pande","Women","https://www.ritupandeofficial.com/","https://www.instagram.com/ritupande/?hl=en","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122212_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122211_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122210_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122209_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122206_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122205_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122204_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122203_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/t/RTPE122202_1.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/rhea","Rhea","Women",,"https://www.instagram.com/rhea.designer/","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092326_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092324_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092325_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092323_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092322_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092321_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092318_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092316_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/h/RHEA092312_1.jpg?impolicy=listingimagedesktop",,,,
"https://www.perniaspopupshop.com/designers/rosa-by-priyanka-kar","ROSA By Priyanka Kar","Women","https://www.facebook.com/priyanka.kar.3382/","https://www.instagram.com/labelpriyankakar/?hl=en","https://img.perniaspopupshop.com/catalog/product/r/o/ROPK092303_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/o/ROPK092302_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/o/ROPK012324_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/o/ROPK012322_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/o/ROPK012314_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/o/ROPK012313_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/radhika-nandwani","Radhika Nandwani","Women","https://www.radhikanandwani.com/","https://www.instagram.com/radhikanandwani/","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD082318_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD082317_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD082316_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD082313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD082311_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD082304_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD022328_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/d/RDNAD022327_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/riana-jewellery-men","Riana Jewellery Men","Women","https://www.rianajewellery.com/","https://www.instagram.com/rianajewellery/","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022342_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022346_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022343_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022315_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022317_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022312_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/j/RJWCM022347_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/rubilon","Rubilon","Women",,,"https://img.perniaspopupshop.com/catalog/product/r/u/RUBI052323_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/u/RUBI052322_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/u/RUBI052321_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/u/RUBI052314_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/u/rubi052313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/u/RUBI052312_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/rng","RNG","Women",,,"https://img.perniaspopupshop.com/catalog/product/r/n/RNG032325_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032324_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032322_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032319_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032314_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032311_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032310_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/n/RNG032307_1.jpg?impolicy=listingimagedesktop",,,,,
