"MAIN LINK","DESIGNER NAME","PRICE RANGE","CATEGORY","WEBSITE","INSTAGRAM URL","STORE 1","STORE 2 ","STORE 3 ","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11","IMAGE 12"
"https://www.perniaspopupshop.com/designers/anamika-khanna","Anamika Khanna","50400-50400","Women","https://www.anamikakhanna.in/","https://www.instagram.com/anamikakhanna.in/?hl=en","2, 1, Outram St, near Outram Club, Mullick Bazar, Elgin, Kolkata, West Bengal 700017","98, Chandi Ghosh Rd, Ashok Nagar, Tollygunge, Kolkata, West Bengal 700040","The Kila, Seven Style Mile, near Qutab Minar, Mehrauli, New Delhi, Delhi 110030","https://img.perniaspopupshop.com/catalog/product/s/a/sara-ali-khan-in-anamika-khanna.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111916_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111915_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111914_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111912_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111911_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111910_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111909_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111908_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111907_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111906_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ankc111905_1.jpg?impolicy=listingimagedesktop"
"https://www.perniaspopupshop.com/designers/ayesha-khurram","Ayesha Khurram","3950-21000
","Women","https://ayeshakhurram.com/","https://www.instagram.com/ayeshakhurram_official/?hl=en","4 - Z, Defense Housing Authority, Lahore, Punjab, 54000, Pakistan",,,"https://img.perniaspopupshop.com/catalog/product/s/s/SSPQ1120194_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/s/s/sspq04ak_b__19_1_1.jpg?impolicy=listingimagedesktop",,,,,,,,,,
"https://www.perniaspopupshop.com/designers/amit-aggarwal","Amit Aggarwal","11500-525000","Women","https://amitaggarwal.com/","https://www.instagram.com/amitaggarwalofficial/?hl=en","THE KILA SEVEN STYLE MILE, 4A, Kalka Das Marg Mehrauli, New Delhi, Delhi 110030","7, BEST Marg, Apollo Bandar Colaba, Mumbai, Maharashtra 400005","elahe 476 Milestone, Road No.10 Banjarahills, Hyderabad 500034","https://img.perniaspopupshop.com/catalog/product/w/r/wraa112301_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/w/r/wraa112302_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/w/r/wraa112303_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/w/r/wraa112304_1_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/w/r/wraa112305_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/w/r/wraa112306_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/anand-kabra","Anand Kabra","28500-348000","Women","http://www.anandkabra.com/","https://www.instagram.com/anand.kabra/","OGAAN DELHIH2 Houz Khas Village Delhi 110016","Shop No.433/437, III Floor Emporio Mall Road #4, Vasant Kunj Phase-II","D-268 Defence Colony New Delhi - 110024","https://img.perniaspopupshop.com/catalog/product/a/n/ANKB012201_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANKB042204_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANKB032222_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANKB082107_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANKB082206_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANKB092208_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/arpita-mehta","Arpita Mehta","35000-500000","Women","https://arpitamehtaofficial.com/","https://www.instagram.com/arpitamehtaofficial/","Rajgir Apartment, Khar West, Road no 8. Mumbai 400052",,,"https://img.perniaspopupshop.com/catalog/product/d/i/disha_patni_in_arpita_mehta_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/d/i/disha_patni_in_arpita_mehta.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/madhuri_dixit_in_arpita_mehta.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/s/h/shilpa_shetty_in_arpita_mehta.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/p/o/pooja_hegde_in_arpita_mehta.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/k/i/kiara_advani_in_arpita_mehta.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/anupamaa-dayal","Anupamaa Dayal",,"Women","https://anupamaa.com/","https://www.instagram.com/anupamaadayal/?hl=en","64A, Middle Lane, Ground Floor, Khan Market, New Delhi - 110003.",,,"https://img.perniaspopupshop.com/catalog/product/a/d/ADAC121902_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/ADAC121901_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052067-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052074-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/ADAC0520111-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052081-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/ADAC052090-001_1.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/amrita-thakur","Amrita Thakur","6907-122100","Women","https://amritathakur.in/","https://www.instagram.com/amrita_thakur/?hl=en","F-564/A, 1st Floor, Lado Sarai, Sri Aurobindo Marg, Mehrauli, Delhi - 110030",,,"https://img.perniaspopupshop.com/catalog/product/k/r/kriti_kharbanda_in_amrita_thakur.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMTH092220_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/k/i/kiara_advani_in_amrita_thakur.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMTH092225_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMTH112220_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMTH112216_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/ayinat-by-taniya-o-connor","Ayinat By Taniya O'Connor",,"Women","https://www.ayinat.com/","https://www.instagram.com/ayinatofficial/","Ayinat Shop Number 37 Left Wing , Santushti Shopping Complex, Chanakya Puri New Delhi 110021",,,"https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616005-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616004-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616009-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/ayc230616008-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022015-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022014-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022013-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022012-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022011-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022010-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022009-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/y/AYTO022008-001_1.jpg?impolicy=listingimagedesktop"
"https://www.perniaspopupshop.com/designers/aharin-india","Aharin India","8500-254000","Women","https://www.facebook.com/aharinindia/","https://www.instagram.com/aharinindia/",,,,"https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022316_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022315_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022310_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022362_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022359_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022325_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022324_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022322_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022319_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022311_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/h/AHIN022308_1.jpg?impolicy=listingimagedesktop"
"https://www.perniaspopupshop.com/designers/am-pm","AMPM","7950-84950","Women","https://ampm.in/","https://www.instagram.com/ampmfashions/","AMPM, 3rd Floor, DLF Emporio Mall, Nelson Mandela Marg, Vasant Kunj, New Delhi - 110070",,,"https://img.perniaspopupshop.com/catalog/product/a/m/AMPM0522154_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082230_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082231_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082229_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082218_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMPM082244_1.jpg?impolicy=listingimagedesktop",,,,,,
